date,time,millis,event,pulseCount,rightCount,leftCount,dispensedCount,retrievedCount,rightWaterCount,leftWaterCount,LEDCount,toneCount,frontWaterCount,waterDispensedCount,rightWD_QTY,leftWD_QTY,frontWD_QTY,totalWD_QTY,rightWithPelletCount,leftWithPelletCount,rightDuringDispenseCount,leftDuringDispenseCount,rightinTimeoutCount,leftinTimeoutCount,,Offset
4/29/2026,15:35:14,13002.99,FrontWater,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,43250
4/29/2026,15:35:15,13072.59,WaterDispensed,10,2,0,0,0,0,0,0,0,1,1,0,0,0.01428,0.01428,0,0,0,0,0,0,,43319.6
4/29/2026,15:35:19,17043.9,FrontWater,9,2,0,0,0,0,0,0,0,2,1,0,0,0.01428,0.01428,0,0,0,0,0,0,,47290.91
4/29/2026,15:35:19,17114.54,WaterDispensed,10,2,0,0,0,0,0,0,0,2,2,0,0,0.02856,0.02856,0,0,0,0,0,0,,47361.55
4/29/2026,15:35:20,19011.84,FrontWater,9,2,0,0,0,0,0,0,0,3,2,0,0,0.02856,0.02856,0,0,0,0,0,0,,49258.85
4/29/2026,15:35:21,19082.48,WaterDispensed,10,2,0,0,0,0,0,0,0,3,3,0,0,0.04284,0.04284,0,0,0,0,0,0,,49329.49
4/29/2026,15:35:21,19224.38,FrontWater,9,2,0,0,0,0,0,0,0,4,4,0,0,0.05712,0.05712,0,0,0,0,0,0,,49471.39
4/29/2026,15:35:21,19295.05,WaterDispensed,10,2,0,0,0,0,0,0,0,4,4,0,0,0.05712,0.05712,0,0,0,0,0,0,,49542.06
4/29/2026,15:35:37,35618.77,FrontWater,9,2,0,0,0,0,0,0,0,5,4,0,0,0.05712,0.05712,0,0,0,0,0,0,,65865.78
4/29/2026,15:35:37,35689.4,WaterDispensed,10,2,0,0,0,0,0,0,0,5,5,0,0,0.0714,0.0714,0,0,0,0,0,0,,65936.41
4/29/2026,15:35:37,35880.13,FrontWater,9,2,0,0,0,0,0,0,0,6,5,0,0,0.0714,0.0714,0,0,0,0,0,0,,66127.14
4/29/2026,15:35:37,35950.79,WaterDispensed,10,2,0,0,0,0,0,0,0,6,6,0,0,0.08568,0.08568,0,0,0,0,0,0,,66197.8
4/29/2026,15:35:49,47942.71,FrontWater,9,2,0,0,0,0,0,0,0,7,6,0,0,0.08568,0.08568,0,0,0,0,0,0,,78189.72
4/29/2026,15:35:49,48013.35,WaterDispensed,10,2,0,0,0,0,0,0,0,7,7,0,0,0.09996,0.09996,0,0,0,0,0,0,,78260.36
4/29/2026,15:36:17,75601.21,FrontWater,9,2,0,0,0,0,0,0,0,8,7,0,0,0.09996,0.09996,0,0,0,0,0,0,,
4/29/2026,15:36:17,75671.87,WaterDispensed,10,2,0,0,0,0,0,0,0,8,8,0,0,0.11424,0.11424,0,0,0,0,0,0,,
4/29/2026,15:36:18,76093.54,FrontWater,9,2,0,0,0,0,0,0,0,9,8,0,0,0.11424,0.11424,0,0,0,0,0,0,,
4/29/2026,15:36:18,76164.2,WaterDispensed,10,2,0,0,0,0,0,0,0,9,9,0,0,0.12852,0.12852,0,0,0,0,0,0,,
4/29/2026,15:36:22,80293.1,FrontWater,9,2,0,0,0,0,0,0,0,10,9,0,0,0.12852,0.12852,0,0,0,0,0,0,,
4/29/2026,15:36:22,80363.76,WaterDispensed,10,2,0,0,0,0,0,0,0,10,10,0,0,0.1428,0.1428,0,0,0,0,0,0,,
4/29/2026,15:37:00,118603.11,FrontWater,9,2,0,0,0,0,0,0,0,11,10,0,0,0.1428,0.1428,0,0,0,0,0,0,,
4/29/2026,15:37:00,118673.75,WaterDispensed,10,2,0,0,0,0,0,0,0,11,11,0,0,0.15708,0.15708,0,0,0,0,0,0,,
4/29/2026,15:37:35,153512.8,FrontWater,9,2,0,0,0,0,0,0,0,12,11,0,0,0.15708,0.15708,0,0,0,0,0,0,,
4/29/2026,15:37:35,153583.48,WaterDispensed,10,2,0,0,0,0,0,0,0,12,12,0,0,0.17136,0.17136,0,0,0,0,0,0,,
4/29/2026,15:37:35,153885.71,FrontWater,9,2,0,0,0,0,0,0,0,13,12,0,0,0.17136,0.17136,0,0,0,0,0,0,,
4/29/2026,15:37:35,153956.35,WaterDispensed,10,2,0,0,0,0,0,0,0,13,13,0,0,0.18564,0.18564,0,0,0,0,0,0,,
4/29/2026,15:37:36,154046.35,FrontWater,9,2,0,0,0,0,0,0,0,14,13,0,0,0.18564,0.18564,0,0,0,0,0,0,,
4/29/2026,15:37:58,176213.7,FrontWater,9,2,0,0,0,0,0,0,0,15,14,0,0,0.19992,0.19992,0,0,0,0,0,0,,
4/29/2026,15:37:58,176284.38,WaterDispensed,10,2,0,0,0,0,0,0,0,15,14,0,0,0.19992,0.19992,0,0,0,0,0,0,,
4/29/2026,15:38:37,215648.34,FrontWater,9,2,0,0,0,0,0,0,0,16,14,0,0,0.19992,0.19992,0,0,0,0,0,0,,
4/29/2026,15:38:37,215718.99,WaterDispensed,10,2,0,0,0,0,0,0,0,16,15,0,0,0.2142,0.2142,0,0,0,0,0,0,,
4/29/2026,15:38:52,230623.97,FrontWater,9,2,0,0,0,0,0,0,0,17,15,0,0,0.2142,0.2142,0,0,0,0,0,0,,
4/29/2026,15:38:52,230694.63,WaterDispensed,10,2,0,0,0,0,0,0,0,17,16,0,0,0.22848,0.22848,0,0,0,0,0,0,,
4/29/2026,15:39:35,273472.49,FrontWater,9,2,0,0,0,0,0,0,0,18,16,0,0,0.22848,0.22848,0,0,0,0,0,0,,
4/29/2026,15:39:35,273543.15,WaterDispensed,10,2,0,0,0,0,0,0,0,18,17,0,0,0.24276,0.24276,0,0,0,0,0,0,,
4/29/2026,15:39:41,279222.34,FrontWater,9,2,0,0,0,0,0,0,0,19,18,0,0,0.25704,0.25704,0,0,0,0,0,0,,
4/29/2026,15:39:41,279292.99,WaterDispensed,10,2,0,0,0,0,0,0,0,19,18,0,0,0.25704,0.25704,0,0,0,0,0,0,,
4/29/2026,15:41:16,374725.8,FrontWater,9,2,0,0,0,0,0,0,0,20,18,0,0,0.25704,0.25704,0,0,0,0,0,0,,
